name,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,distance,monthly_rent,rent_efficiency_per_bedroom,log_rent,distance_norm,distance_bucket,drive_time,transit_time,commute_gap,commute_score,rent_per_min_drive,neigh_score,drive_time_norm,transit_time_norm,rent_norm,score,score_norm
"Modern/Chic Home with private yard, laundry",Palms,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.03181,-118.39435,6.293957896268158,1962.0,1962.0,7.5822291942764615,-0.28101858948995345,medium,14.9,29.416666666666668,14.516666666666667,22.158333333333335,131.6778523489933,0.6,0.43659147869674186,0.19851292340375312,0.5945744842640598,-0.3485098219953971,0.5467602800407917
*Guest Suite (Entire 1st fl.) in Modern Townhouse*,Culver City,Other Cities,Private room in guest suite,Private room,2,1.0,1.0,1.0,34.02164,-118.38618,7.560997288718327,1908.0,1908.0,7.554334823725748,0.33398735702650656,medium,18.316666666666666,43.96666666666667,25.650000000000002,31.141666666666666,104.16742493175614,0.7,0.5393483709273182,0.30154608757228846,0.5876167894183796,-0.38716044456000503,0.4917127459721501
UCLA Area Coliving suite w In unit closet,Sawtelle,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,34.044929396520665,-118.4467381,2.401989972446783,1152.0,1152.0,7.050122520269059,-2.1701338222632733,close,12.216666666666667,20.983333333333334,8.766666666666667,16.6,94.29740791268759,0.5,0.3558897243107769,0.13879381564971086,0.4618510784298096,-0.26926611179509913,0.6596218731415161
Gjelina Hotel,Venice,City of Los Angeles,Room in hotel,Private room,14,1.0,14.0,14.0,33.9950836,-118.4800854,8.164466940418876,4680.0,334.2857142857143,8.45126704130007,0.6269043938207285,medium,22.0,52.4,30.4,37.2,212.72727272727272,0.5,0.650125313283208,0.36126519532633067,0.8113386567319151,-0.5418260957429946,0.2714326537559793
"Cozy Culver City bedroom, hillside (west)",Culver City,Other Cities,Private room in home,Private room,2,1.0,1.0,1.0,33.9958,-118.38684,9.353875988059027,2340.0,2340.0,7.75833346749091,1.2042294884451572,medium,20.016666666666666,39.21666666666667,19.200000000000003,29.616666666666667,116.90258118234804,0.7,0.5904761904761904,0.26790983122860856,0.638500185753498,-0.416124897689978,0.4504605845668185
Charming Double Bed Hotel Style,Pico-Robertson,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,34.06034,-118.38316,6.26277510373761,2700.0,2700.0,7.901377353792616,-0.2961543484486319,medium,18.766666666666666,41.333333333333336,22.56666666666667,30.05,143.8721136767318,0.5,0.5528822055137844,0.28289861914316067,0.6741796325658217,-0.44211623850909615,0.4134428310535746
"Boho Bungalow Near LAX, SoFi: Garden, Pets Welcome",Culver City,Other Cities,Entire home,Entire home/apt,4,1.0,2.0,2.0,33.99759,-118.43166,7.258407332190527,3258.0,1629.0,8.089175678837561,0.18711376830493637,medium,18.483333333333334,44.55,26.066666666666663,31.516666666666666,176.2669071235347,0.7,0.5443609022556392,0.3056768558951965,0.7210221822414643,-0.44285251475231674,0.4123942013318963
Charming Beverly Hills Guesthouse,Beverly Hills,Other Cities,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,34.06822,-118.41314,3.2067210667597634,3852.0,3852.0,8.256607344626158,-1.7795268598450584,close,10.216666666666667,24.783333333333335,14.566666666666668,17.5,377.0309951060359,0.5,0.2957393483709273,0.1657028207246548,0.7627846746390982,-0.3769762385118484,0.5062174393560884
"Bright Top Floor 1BD/1BA with Gym,BBQ,Pool, BBQ!",Mid-Wilshire,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.05671,-118.35321,9.279416037660509,1800.0,1800.0,7.496097345175956,1.1680875085309768,medium,22.983333333333334,55.78333333333333,32.8,39.38333333333333,78.31762146482959,0.5,0.6796992481203008,0.3852236515991974,0.5730906109697704,-0.4601907491438379,0.38770049693523506
Luxurious Room4 Private Bathroom,Mid-Wilshire,City of Los Angeles,Private room in home,Private room,2,1.0,1.0,1.0,34.054115439331206,-118.3610172,8.547120597024566,918.0,918.0,6.823286122355687,0.8126399563226042,medium,20.816666666666666,49.15,28.333333333333332,34.983333333333334,44.09927942353883,0.5,0.6145363408521303,0.33825091467012863,0.4052712594407001,-0.3641195889659449,0.5245283178601458
Private Room Walking to UCLA,Westwood,City of Los Angeles,Private room in rental unit,Private room,1,1.0,1.0,1.0,34.05967663023297,-118.4376108,1.1944308540024418,1224.0,1224.0,7.110696122978827,-2.756268746748387,very_close,6.183333333333334,16.616666666666667,10.433333333333334,11.4,197.95148247978435,1.0,0.17443609022556392,0.10787206420394194,0.4769599564950739,-0.16468922250648713,0.8085638433849345
Mid-City Gem Close to Everything.,Mid-Wilshire,City of Los Angeles,Private room in rental unit,Private room,1,1.0,1.0,1.0,34.06658,-118.34728,9.794747980423173,774.0,774.0,6.652863029353347,1.4182235430673955,medium,27.283333333333335,54.56666666666667,27.283333333333335,40.925000000000004,28.36896762370189,0.5,0.8090225563909774,0.3766080490971321,0.3627626151387438,-0.4131334227922172,0.45472114508106914
Charming 1Bed/1Bath on Glendon Avenue in Westwood,West Los Angeles,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,34.04935,-118.43606,2.158105882481518,2178.0,2178.0,7.68662133494462,-2.288512277174092,close,9.866666666666667,11.716666666666667,1.8499999999999996,10.791666666666668,220.74324324324323,0.5,0.28521303258145364,0.07317361029151422,0.6206130233928011,-0.2984438411898594,0.6180659564103218
"Bright & Cozy Upper Westwood Studio, Near UCLA",West Los Angeles,City of Los Angeles,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,34.04867,-118.43591,2.226110958599742,1800.0,1800.0,7.496097345175956,-2.2555034169482586,close,9.683333333333334,12.383333333333333,2.6999999999999993,11.033333333333333,185.88640275387263,0.5,0.2796992481203008,0.07789448837483771,0.5730906109697704,-0.27872491649896597,0.6461503210775262
"The ""Sweet Spot"" Steps from Venice Beach",Venice,City of Los Angeles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,33.98624,-118.47024,8.636942283007178,2340.0,2340.0,7.75833346749091,0.8562383411357369,medium,24.75,50.05,25.299999999999997,37.4,94.54545454545455,0.5,0.7328320802005012,0.34462410008261535,0.638500185753498,-0.49417451837807264,0.3392996544500898
